Train signal size,Train background size,Validation signal size,Validation background size,Test signal size,Test background size,Training method,Model structure,Model Name,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Training epochs,time
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_01,0.6760599613189697,0.606359649122807,0.5452578039293907,0.6935715079307556,0.56375,0.583868915,"quark jet: = 2, L: 300 fb^-1, w/ photon",17,2025-08-12 23:11:02.902744
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_02,0.672668993473053,0.5942982456140351,0.5621571756258102,0.7019810676574707,0.52615,0.531335305,"quark jet: = 2, L: 300 fb^-1, w/ photon",26,2025-08-12 23:14:39.135284
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_03,0.6769965887069702,0.5953947368421053,0.528527974468934,0.7105530500411987,0.52095,0.52493893,"quark jet: = 2, L: 300 fb^-1, w/ photon",16,2025-08-12 23:17:15.200381
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_04,0.6786181926727295,0.6019736842105263,0.5585868155978857,0.6829258799552917,0.57465,0.601380715,"quark jet: = 2, L: 300 fb^-1, w/ photon",14,2025-08-12 23:19:41.875167
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_05,0.6738906502723694,0.5953947368421053,0.5426747780991323,0.7005507349967957,0.5701,0.591311625,"quark jet: = 2, L: 300 fb^-1, w/ photon",21,2025-08-12 23:22:53.807673
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_01,0.6779402494430542,0.5955344070278185,0.5329830853977344,0.7021476030349731,0.5107,0.5076951349999999,"quark jet: = 2, L: 900 fb^-1, w/ photon",15,2025-08-12 23:27:04.812802
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_02,0.6752972602844238,0.595900439238653,0.5386252689797444,0.7160686254501343,0.51645,0.51744573,"quark jet: = 2, L: 900 fb^-1, w/ photon",13,2025-08-12 23:30:46.416324
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_03,0.6746528744697571,0.5962664714494875,0.5520003423378563,0.6896132826805115,0.59385,0.619964285,"quark jet: = 2, L: 900 fb^-1, w/ photon",16,2025-08-12 23:35:05.983071
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_10,0.461411714553833,0.78586,0.8652321536,0.4592796564102173,0.7861,0.8657878200000001,"pure, w/o photon",86,2025-08-12 23:50:27.488944
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_04,0.6429399251937866,0.62298682284041,0.6491892817129341,0.6374131441116333,0.68485,0.746765025,"quark jet: = 2, L: 900 fb^-1, w/ photon",72,2025-08-12 23:50:43.081549
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_06,9.133193016052246,0.5888157894736842,0.4365143369175627,7.71054220199585,0.5,0.3660851499999999,"quark jet: = 2, L: 100 fb^-1, w/ photon",12,2025-08-12 23:52:06.341992
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_07,0.6734205484390259,0.631578947368421,0.5756272401433692,0.6913496851921082,0.5459,0.5514313399999999,"quark jet: = 2, L: 100 fb^-1, w/ photon",19,2025-08-12 23:54:17.266015
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_05,0.6850917339324951,0.5944363103953147,0.501368795682097,0.6944606304168701,0.532,0.53739017,"quark jet: = 2, L: 900 fb^-1, w/ photon",17,2025-08-12 23:55:12.318017
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_08,0.6661936044692993,0.631578947368421,0.6232974910394266,0.6763201355934143,0.60475,0.64380478,"quark jet: = 2, L: 100 fb^-1, w/ photon",57,2025-08-12 23:59:18.511612
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_01,0.6762267351150513,0.5964494875549048,0.5380693173027333,0.7047408223152161,0.55405,0.570135845,"quark jet: = 2, L: 1800 fb^-1, w/ photon",12,2025-08-13 00:00:30.711677
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_09,3.080514907836914,0.6085526315789473,0.4849910394265233,4.006646633148193,0.5,0.47618813,"quark jet: = 2, L: 100 fb^-1, w/ photon",14,2025-08-13 00:01:05.813725
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_10,0.6737698912620544,0.618421052631579,0.5338709677419354,0.7173839211463928,0.5301,0.540839505,"quark jet: = 2, L: 100 fb^-1, w/ photon",21,2025-08-13 00:03:35.510789
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_06,0.6735687255859375,0.6096491228070176,0.5275007479804528,0.7063024640083313,0.55015,0.5525759,"quark jet: = 2, L: 300 fb^-1, w/ photon",27,2025-08-13 00:07:12.813101
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_02,0.6762480735778809,0.6048682284040996,0.5367260163432982,0.694003164768219,0.55695,0.570678095,"quark jet: = 2, L: 1800 fb^-1, w/ photon",22,2025-08-13 00:09:53.051208
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_07,0.6613471508026123,0.6326754385964912,0.6282287822878229,0.6824565529823303,0.6139,0.65113325,"quark jet: = 2, L: 300 fb^-1, w/ photon",27,2025-08-13 00:11:07.337290
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_08,0.6812172532081604,0.6052631578947368,0.5446943253216316,0.6792266368865967,0.58525,0.61826235,"quark jet: = 2, L: 300 fb^-1, w/ photon",14,2025-08-13 00:13:25.120027
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_09,0.6688343286514282,0.6019736842105263,0.5677321232671786,0.7087168097496033,0.55105,0.565205865,"quark jet: = 2, L: 300 fb^-1, w/ photon",19,2025-08-13 00:16:25.857383
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_03,0.6813473105430603,0.5962664714494875,0.5635033250120041,0.6707957983016968,0.6148,0.6560003649999999,"quark jet: = 2, L: 1800 fb^-1, w/ photon",27,2025-08-13 00:21:14.752430
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_10,0.656802237033844,0.618421052631579,0.6153286127455868,0.6727572083473206,0.62525,0.675077895,"quark jet: = 2, L: 300 fb^-1, w/ photon",48,2025-08-13 00:22:11.044985
