Train signal size,Train background size,Validation signal size,Validation background size,Test signal size,Test background size,Training method,Model structure,Model Name,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Training epochs,time
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_01,0.6434575319290161,0.6447368421052632,0.6578853046594982,0.6376913785934448,0.6659,0.721340645,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",73,2026-03-18 16:15:10.840063
2162,1475,542,370,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_300_aa_w_product_02,0.647000253200531,0.6326754385964912,0.6402214022140222,0.6620857119560242,0.65665,0.71190248,"quark jet: = 2, L: 300 fb^-1, aa, w/ decay product",97,2026-03-18 16:16:24.480847
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_02,0.6351140737533569,0.6776315789473685,0.6637992831541218,0.6518242955207825,0.6529,0.70667835,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",84,2026-03-18 16:16:34.700618
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_03,0.6445479393005371,0.6381578947368421,0.6526433691756272,0.641812264919281,0.67265,0.73063181,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",79,2026-03-18 16:17:44.128737
2162,1475,542,370,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_300_aa_w_product_03,0.6548924446105957,0.618421052631579,0.6141517901665503,0.6665241122245789,0.64835,0.699413735,"quark jet: = 2, L: 300 fb^-1, aa, w/ decay product",80,2026-03-18 16:17:58.501421
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_04,0.6521613597869873,0.6381578947368421,0.641353046594982,0.6550827622413635,0.63725,0.68864316,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",73,2026-03-18 16:18:59.383227
2162,1475,542,370,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_300_aa_w_product_04,0.6449900269508362,0.6293859649122807,0.651800139623018,0.6427200436592102,0.66515,0.7211162000000001,"quark jet: = 2, L: 300 fb^-1, aa, w/ decay product",126,2026-03-18 16:20:01.115791
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_05,0.6741839051246643,0.6217105263157895,0.5810035842293908,0.6367237567901611,0.6699,0.73140857,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",81,2026-03-18 16:20:19.603702
2162,1475,542,370,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_300_aa_w_product_05,0.6430453658103943,0.631578947368421,0.6500897576543334,0.6718554496765137,0.64105,0.691773865,"quark jet: = 2, L: 300 fb^-1, aa, w/ decay product",76,2026-03-18 16:21:37.382610
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_06,0.6414511799812317,0.6578947368421053,0.6586917562724015,0.6494014263153076,0.6578,0.7141485900000001,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",109,2026-03-18 16:21:45.211640
720,491,180,124,10000,10000,CWoLa,event-CNN,quark_jet_2_cut_eventCNN_L_100_aa_wo_product_case_5_07,0.6527069211006165,0.618421052631579,0.6331989247311827,0.6522226929664612,0.65965,0.714675835,"quark jet: = 2, L: 100 fb^-1, aa, w/o decay product",70,2026-03-18 16:22:59.957823
